company,canonical_metric,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025
ApexFreight,gross_margin,,,51%,52%,54%
ApexFreight,headcount,,,196,199,204
ApexFreight,revenue,,,9.0M,8.9M,8.6M
CarbonTrack,arr,,,,$15.2M,$16.9M
CarbonTrack,gross_margin,,,,72%,73%
CarbonTrack,headcount,,,,72,78
CarbonTrack,net_revenue_retention,,,,118%,121%
CarbonTrack,revenue,,,,$3.8M,$4.1M
ClearPay,gross_margin,,,,66%,67%
ClearPay,headcount,,,,203,211
ClearPay,revenue,,,,$16.1M,$17.3M
ConstructIQ,arr,,,,$17.1M,$18.6M
ConstructIQ,gross_margin,,,,70%,71%
ConstructIQ,headcount,,,,84,89
ConstructIQ,net_revenue_retention,,,,110%,112%
ConstructIQ,revenue,,,,$4.2M,$4.5M
LendBridge,gross_margin,58%,59%,60%,61%,62%
LendBridge,headcount,162,169,175,182,188
LendBridge,revenue,$10.1M,$10.8M,$11.4M,$12.1M,$12.7M
MediSight,arr,,,24.5M,26.1M,27.9M
MediSight,gross_margin,,,75%,76%,77%
MediSight,headcount,,,108,114,121
MediSight,revenue,,,6.1M,6.3M,6.8M
NovaCloud,arr,$24.1M,$26.8M,$29.1M,$31.6M,$34.2M
NovaCloud,gross_margin,74%,75%,76%,77%,78%
NovaCloud,headcount,112,120,128,135,142
NovaCloud,net_revenue_retention,115%,117%,119%,121%,123%
NovaCloud,revenue,$5.8M,$6.5M,$7.2M,$7.9M,$8.4M
PeopleFlow,arr,,,18.3M,19.8M,21.4M
PeopleFlow,gross_margin,,,74%,74%,73%
PeopleFlow,headcount,,,88,92,96
PeopleFlow,net_revenue_retention,,,116%,117%,118%
PeopleFlow,revenue,,,4.4M,4.6M,5.1M
TalentVault,arr,,,,$20.8M,$22.4M
TalentVault,gross_margin,,,,75%,76%
TalentVault,headcount,,,,97,103
TalentVault,net_revenue_retention,,,,116%,119%
TalentVault,revenue,,,,$5.1M,$5.5M
